Date,Item Name,Low Price,Average Price,High Price
30-12-2021,કપાસ બી. ટી.,1500,1700,1600
30-12-2021,ઘઉં લોકવન,350,580,450
30-12-2021,ઘઉં ટુકડા,300,560,400
30-12-2021,મગફળી જાડી જુની,1200,1200,1200
31-12-2021,કપાસ બી. ટી.,1001,1886,2051
31-12-2021,ઘઉં લોકવન,386,420,464
31-12-2021,ઘઉં ટુકડા,390,242,490
31-12-2021,મગફળી જીણી,820,1076,1231
31-12-2021,મગફળી જાડી જુની,780,1081,1166
31-12-2021,સિંગ ફાડીયા,900,1221,1336
31-12-2021,એરંડા / એરંડી,1071,1091,1131
31-12-2021,તલ લાલ,2071,2071,2121
31-12-2021,જીરૂ,2251,2941,3181
31-12-2021,ક્લંજી,1551,2376,2376
31-12-2021,વરીયાળી,1301,1301,1301
31-12-2021,ધાણા,1100,1521,1586
31-12-2021,મરચા સૂકા પટ્ટો,500,2651,3201
31-12-2021,લસણ સુકું,151,271,441
31-12-2021,ડુંગળી લાલ,71,321,431
31-12-2021,અડદ,700,1341,1401
31-12-2021,મઠ,1641,1641,1641
31-12-2021,તુવેર,700,1001,1161
31-12-2021,રાય,1501,1501,1501
31-12-2021,મેથી,1071,1111,1171
31-12-2021,કાંગ,101,400,551
31-12-2021,કારીજીરી,676,1500,1761
31-12-2021,સુરજમુખી,776,861,926
31-12-2021,તલ - તલી,1500,2071,2191
31-12-2021,ધાણી,1151,1541,1621
31-12-2021,બાજરો,331,331,331
31-12-2021,જુવાર,431,451,461
31-12-2021,મગ,826,1341,1451
31-12-2021,ચણા,641,871,891
31-12-2021,વાલ,651,1051,1101
31-12-2021,ચોળા / ચોળી,651,1051,1101
31-12-2021,સોયાબીન,1000,1201,1271
31-12-2021,ગોગળી,700,861,946
01-01-2022,કપાસ બી. ટી.,1051,1881,2011
01-01-2022,મગફળી જીણી,825,1081,1231
01-01-2022,મગફળી જાડી જુની,800,1076,1171
01-01-2022,સિંગ ફાડીયા,901,1301,1406
01-01-2022,એરંડા / એરંડી,1100,1100,1100
01-01-2022,તલ લાલ,1500,2071,2181
01-01-2022,જીરૂ,2201,2931,3181
01-01-2022,ધાણા,1100,1551,1636
01-01-2022,મરચા સૂકા પટ્ટો,501,2601,3251
01-01-2022,લસણ સુકું,161,301,441
01-01-2022,ડુંગળી લાલ,71,301,441
01-01-2022,અડદ,801,1171,1431
01-01-2022,મઠ,1591,1601,1681
01-01-2022,તુવેર,776,1011,1141
01-01-2022,રાય,1481,1491,1511
01-01-2022,મેથી,1031,1111,1181
01-01-2022,સુવાદાણા,676,676,676
01-01-2022,ધાણી,1151,1571,1681
01-01-2022,મરચા સૂકા ઘોલર,501,0,3251
01-01-2022,ડુંગળી સફેદ,101,131,331
01-01-2022,બાજરો,401,401,401
01-01-2022,જુવાર,281,391,491
01-01-2022,મકાઇ,341,371,411
01-01-2022,મગ,1001,1271,1411
01-01-2022,ચણા,671,881,896
01-01-2022,વાલ,576,1201,1251
01-01-2022,ચોળા / ચોળી,326,381,1401
01-01-2022,સોયાબીન,1051,1181,1231
01-01-2022,ગોગળી,700,886,941
03-01-2022,કપાસ બી. ટી.,1001,1851,2021
03-01-2022,ઘઉં લોકવન,386,422,476
03-01-2022,ઘઉં ટુકડા,390,426,514
03-01-2022,મગફળી જીણી,811,1061,1221
03-01-2022,મગફળી જાડી જુની,780,1071,1166
03-01-2022,સિંગ ફાડીયા,901,1321,1441
03-01-2022,એરંડા / એરંડી,1000,1141,1161
03-01-2022,તલ લાલ,2081,2081,2081
03-01-2022,જીરૂ,2301,2981,3241
03-01-2022,ધાણા,1151,1551,1631
03-01-2022,મરચા સૂકા પટ્ટો,551,2651,3301
03-01-2022,લસણ સુકું,151,291,441
03-01-2022,ડુંગળી લાલ,71,301,461
03-01-2022,અડદ,651,1201,1431
03-01-2022,રાય,1326,1326,1326
03-01-2022,મેથી,1001,1050,1251
03-01-2022,કારીજીરી,1401,1401,1851
03-01-2022,તલ - તલી,1800,2071,2181
03-01-2022,ધાણી,1201,1576,1686
03-01-2022,ડુંગળી સફેદ,100,296,356
03-01-2022,બાજરો,281,281,351
03-01-2022,જુવાર,241,441,501
03-01-2022,મગ,1001,1371,1431
03-01-2022,ચણા,681,881,896
03-01-2022,વાલ,400,726,1051
03-01-2022,ચોળા / ચોળી,601,601,601
03-01-2022,સોયાબીન,1051,1201,1256
03-01-2022,ગોગળી,706,881,996
04-01-2022,ઘઉં લોકવન,380,428,450
04-01-2022,ઘઉં ટુકડા,388,439,574
04-01-2022,મગફળી જીણી,800,1051,1186
04-01-2022,મગફળી જાડી જુની,775,1066,1176
04-01-2022,સિંગ ફાડીયા,925,1161,1366
04-01-2022,એરંડા / એરંડી,1081,1101,1106
04-01-2022,તલ લાલ,2081,2081,2101
04-01-2022,જીરૂ,2301,2971,3241
04-01-2022,ક્લંજી,2351,2351,2351
04-01-2022,ધાણા,1100,1541,1641
04-01-2022,લસણ સુકું,151,281,401
04-01-2022,ડુંગળી લાલ,71,341,451
04-01-2022,અડદ,651,1171,1391
04-01-2022,મઠ,701,1526,1626
04-01-2022,તુવેર,576,1081,1211
04-01-2022,રાયડો,901,1091,1111
04-01-2022,રાય,1301,1341,1361
04-01-2022,કાંગ,521,541,541
04-01-2022,કારીજીરી,701,1601,1901
04-01-2022,તલ - તલી,1700,2351,2171
04-01-2022,ડુંગળી સફેદ,31,71,71
04-01-2022,બાજરો,271,281,391
04-01-2022,જુવાર,301,481,521
04-01-2022,મકાઇ,251,331,411
04-01-2022,મગ,776,1331,1431
04-01-2022,ચણા,711,896,921
04-01-2022,વાલ,376,676,1101
04-01-2022,ચોળા / ચોળી,301,1061,1101
04-01-2022,સોયાબીન,1100,1221,1276
04-01-2022,ગોગળી,706,891,1051
05-01-2022,કપાસ બી. ટી.,1001,1861,2061
05-01-2022,ઘઉં લોકવન,386,424,454
05-01-2022,ઘઉં ટુકડા,390,426,510
05-01-2022,મગફળી જીણી,800,1046,1146
05-01-2022,મગફળી જાડી જુની,770,1051,1156
05-01-2022,સિંગ ફાડીયા,901,1271,1391
05-01-2022,એરંડા / એરંડી,1001,1151,1176
05-01-2022,જીરૂ,2301,4981,3231
05-01-2022,ધાણા,1100,1601,1671
05-01-2022,મરચા સૂકા પટ્ટો,551,2751,3351
05-01-2022,લસણ સુકું,151,271,401
05-01-2022,ડુંગળી લાલ,81,351,481
05-01-2022,અડદ,600,1261,1421
05-01-2022,મઠ,1601,1651,1651
05-01-2022,તુવેર,971,1151,1241
05-01-2022,રાય,1326,1401,1441
05-01-2022,મેથી,801,1071,8261
05-01-2022,કાંગ,531,531,531
05-01-2022,તલ - તલી,1700,2051,2121
05-01-2022,ઇસબગુલ,2301,2301,2301
05-01-2022,ધાણી,1151,1621,1701
05-01-2022,ડુંગળી સફેદ,51,146,280
05-01-2022,જુવાર,221,501,531
05-01-2022,મકાઇ,401,441,441
05-01-2022,મગ,726,1131,1481
05-01-2022,ચણા,771,911,931
05-01-2022,વાલ,751,976,1091
05-01-2022,ચોળા / ચોળી,611,1141,1141
05-01-2022,સોયાબીન,1000,1241,1291
05-01-2022,અજમાં,1901,1901,1901
05-01-2022,કળથી,600,600,600
05-01-2022,ગોગળી,700,841,961
