Date,Item Name,Low Price,Average Price,High Price
29-10-2024,કપાસ બી. ટી.,1001,1461,1501
29-10-2024,મગફળી જીણી,721,1086,1211
29-10-2024,સિંગ ફાડીયા,761,1071,1241
29-10-2024,ડુંગળી લાલ,241,761,911
29-10-2024,મગફળી જાડી,600,1076,1200
29-10-2024,મગફળી 66,750,1411,1781
29-10-2024,ગોગળી,841,850,941
06-11-2024,કપાસ બી. ટી.,1001,1486,1556
06-11-2024,ઘઉં લોકવન,542,590,622
06-11-2024,ઘઉં ટુકડા,550,622,700
06-11-2024,મગફળી જીણી,800,1111,1226
06-11-2024,સિંગદાણા જાડા,1171,1271,1321
06-11-2024,સિંગ ફાડીયા,800,1121,1291
06-11-2024,એરંડા / એરંડી,1051,1151,1151
06-11-2024,તલ કાળા,3351,3351,3351
06-11-2024,જીરૂ,3001,4501,4831
06-11-2024,ધાણા,800,1371,1661
06-11-2024,લસણ સુકું,1991,4001,5251
06-11-2024,ડુંગળી લાલ,251,721,1001
06-11-2024,અડદ,1151,1551,1651
06-11-2024,તુવેર,1221,2051,2121
06-11-2024,મેથી,651,926,926
06-11-2024,ગુવાર બી,751,751,751
06-11-2024,મગફળી જાડી,641,1076,1211
06-11-2024,સફેદ ચણા,1301,2176,2881
06-11-2024,મગફળી 66,800,1100,1391
06-11-2024,તલ - તલી,2021,2351,2551
06-11-2024,ધાણી,851,1401,1701
06-11-2024,બાજરો,481,501,541
06-11-2024,જુવાર,311,1001,1001
06-11-2024,મકાઇ,301,391,591
06-11-2024,મગ,1051,1531,1711
06-11-2024,ચણા,1151,1376,1401
06-11-2024,વાલ,801,1501,1801
06-11-2024,ચોળા / ચોળી,1000,1076,2151
06-11-2024,સોયાબીન,601,801,861
06-11-2024,ગોગળી,701,841,931
06-11-2024,વટાણા,351,351,351
07-11-2024,કપાસ બી. ટી.,1101,1486,1561
07-11-2024,ઘઉં લોકવન,578,608,620
07-11-2024,ઘઉં ટુકડા,475,636,752
07-11-2024,મગફળી જીણી,851,1041,1096
07-11-2024,જીરૂ,3451,4541,4851
07-11-2024,ડુંગળી લાલ,241,731,1031
07-11-2024,અડદ,1051,1501,1641
07-11-2024,તુવેર,1221,1701,1951
07-11-2024,રાય,1021,1201,1201
07-11-2024,મેથી,961,961,961
07-11-2024,સુરજમુખી,400,400,400
07-11-2024,મગફળી જાડી,600,1096,1226
07-11-2024,બાજરો,421,491,541
07-11-2024,જુવાર,301,651,751
07-11-2024,મકાઇ,571,571,571
07-11-2024,વાલ,421,1551,1751
07-11-2024,ચોળા / ચોળી,701,1226,2401
09-11-2024,કપાસ બી. ટી.,1111,1496,1591
09-11-2024,ઘઉં લોકવન,580,630,726
09-11-2024,ઘઉં ટુકડા,500,606,632
09-11-2024,મગફળી જીણી,750,1101,1186
09-11-2024,સિંગદાણા જાડા,1151,1331,1391
09-11-2024,સિંગ ફાડીયા,850,1301,1341
09-11-2024,એરંડા / એરંડી,1111,1246,1266
09-11-2024,તલ કાળા,2800,3200,3951
09-11-2024,જીરૂ,3351,4751,4921
09-11-2024,ક્લંજી,1800,3701,3861
09-11-2024,વરીયાળી,1201,1201,1226
09-11-2024,ધાણા,801,1401,1651
09-11-2024,લસણ સુકું,1991,4261,5791
09-11-2024,ડુંગળી લાલ,201,701,1001
09-11-2024,અડદ,1001,1541,1621
09-11-2024,તુવેર,1611,2041,2151
09-11-2024,રાયડો,1051,1051,1051
09-11-2024,મેથી,651,1021,1151
09-11-2024,સુવાદાણા,1000,1351,1351
09-11-2024,કાંગ,651,651,651
09-11-2024,મગફળી જાડી,641,1081,1226
09-11-2024,સફેદ ચણા,1301,2061,2821
09-11-2024,મગફળી 66,866,1171,1251
09-11-2024,તલ - તલી,2001,2381,2541
09-11-2024,ધાણી,901,1441,1751
09-11-2024,બાજરો,471,531,551
09-11-2024,જુવાર,421,761,841
09-11-2024,મકાઇ,431,451,491
09-11-2024,મગ,1000,1401,1561
09-11-2024,ચણા,1201,1331,1401
09-11-2024,વાલ,701,1551,1876
09-11-2024,ચોળા / ચોળી,1001,2201,3251
09-11-2024,સોયાબીન,700,586,881
09-11-2024,અજમાં,1601,1601,1601
09-11-2024,ગોગળી,600,871,921
11-11-2024,કપાસ બી. ટી.,1301,1511,1601
11-11-2024,ઘઉં લોકવન,501,608,628
11-11-2024,ઘઉં ટુકડા,576,625,702
11-11-2024,મગફળી જીણી,721,1091,1186
11-11-2024,સિંગ ફાડીયા,731,1191,1341
11-11-2024,એરંડા / એરંડી,1181,1241,1266
11-11-2024,તલ કાળા,3841,3841,4001
11-11-2024,જીરૂ,3641,4691,4991
11-11-2024,વરીયાળી,700,1101,1326
11-11-2024,ધાણા,801,1401,1631
11-11-2024,લસણ સુકું,3101,4381,5771
11-11-2024,ડુંગળી લાલ,191,681,981
11-11-2024,અડદ,1141,1541,1701
11-11-2024,તુવેર,1201,2051,2241
11-11-2024,રાયડો,1001,1001,1001
11-11-2024,મેથી,976,976,976
11-11-2024,સુવાદાણા,1351,1351,1351
11-11-2024,સુરજમુખી,876,876,876
11-11-2024,મગફળી જાડી,611,1086,1236
11-11-2024,સફેદ ચણા,1301,2031,2851
11-11-2024,મગફળી નવી,800,1250,1461
11-11-2024,તલ - તલી,1851,2411,2611
11-11-2024,ધાણી,901,1441,1641
11-11-2024,બાજરો,491,501,521
11-11-2024,જુવાર,651,791,931
11-11-2024,મકાઇ,501,501,501
11-11-2024,મગ,1011,1661,1721
11-11-2024,ચણા,1251,1336,1421
11-11-2024,વાલ,951,1500,1726
11-11-2024,ચોળા / ચોળી,751,1651,3101
11-11-2024,સોયાબીન,661,801,881
11-11-2024,ગોગળી,700,850,981
11-11-2024,વટાણા,1151,3000,3000
12-11-2024,કપાસ બી. ટી.,1301,1541,1586
12-11-2024,ઘઉં લોકવન,594,616,632
12-11-2024,ઘઉં ટુકડા,530,626,718
12-11-2024,મગફળી જીણી,750,1131,1216
12-11-2024,સિંગદાણા જાડા,1300,1331,1471
12-11-2024,સિંગ ફાડીયા,800,1151,1371
12-11-2024,એરંડા / એરંડી,1151,1251,1261
12-11-2024,જીરૂ,3501,4651,5291
12-11-2024,ધાણા,900,1391,1631
12-11-2024,લસણ સુકું,2991,4391,5841
12-11-2024,ડુંગળી લાલ,131,671,951
12-11-2024,અડદ,1101,1411,1561
12-11-2024,તુવેર,1421,2011,2151
12-11-2024,મેથી,751,1026,1151
12-11-2024,મગફળી જાડી,600,1106,1331
12-11-2024,સફેદ ચણા,1301,2171,2751
12-11-2024,મગફળી 66,951,1261,1421
12-11-2024,તલ - તલી,1500,2381,2600
12-11-2024,ઇસબગુલ,251,1501,1591
12-11-2024,ધાણી,1000,1441,1731
12-11-2024,બાજરો,321,431,521
12-11-2024,જુવાર,741,761,831
12-11-2024,મકાઇ,541,541,561
12-11-2024,મગ,961,1371,1671
12-11-2024,ચણા,1201,1350,1431
12-11-2024,વાલ,411,1401,1401
12-11-2024,ચોળા / ચોળી,357,357,357
12-11-2024,સોયાબીન,551,801,851
12-11-2024,ગોગળી,600,851,941
13-11-2024,કપાસ બી. ટી.,1301,1556,1601
13-11-2024,ઘઉં લોકવન,580,612,630
13-11-2024,ઘઉં ટુકડા,536,624,721
13-11-2024,મગફળી જીણી,761,1121,1231
13-11-2024,સિંગ ફાડીયા,800,1191,1381
13-11-2024,એરંડા / એરંડી,1100,1241,1266
13-11-2024,જીરૂ,3201,4501,4841
13-11-2024,વરીયાળી,1076,1076,1251
13-11-2024,ધાણા,800,1401,1521
13-11-2024,લસણ સુકું,2601,4471,5871
13-11-2024,ડુંગળી લાલ,121,651,881
13-11-2024,અડદ,1001,1531,1631
13-11-2024,તુવેર,1191,2051,2161
13-11-2024,મેથી,700,1081,1101
13-11-2024,કાંગ,951,951,951
13-11-2024,મગફળી જાડી,621,1101,1251
13-11-2024,સફેદ ચણા,1301,1921,2851
13-11-2024,મગફળી 66,800,1251,1421
13-11-2024,તલ - તલી,2000,2401,2631
13-11-2024,ઇસબગુલ,1801,1901,2191
13-11-2024,ધાણી,1000,1391,1671
13-11-2024,જુવાર,691,691,691
13-11-2024,મકાઇ,401,481,441
13-11-2024,મગ,601,1501,1661
13-11-2024,ચણા,1201,1321,1386
13-11-2024,વાલ,521,1676,1676
13-11-2024,ચોળા / ચોળી,651,651,701
13-11-2024,સોયાબીન,611,811,881
13-11-2024,ગોગળી,801,881,941
14-11-2024,કપાસ બી. ટી.,1301,1536,1586
14-11-2024,ઘઉં લોકવન,501,612,632
14-11-2024,ઘઉં ટુકડા,530,630,756
14-11-2024,મગફળી જીણી,751,1091,1186
14-11-2024,સિંગદાણા જાડા,1321,1341,1371
14-11-2024,સિંગ ફાડીયા,851,1131,1291
14-11-2024,એરંડા / એરંડી,980,1200,1200
14-11-2024,જીરૂ,3801,4751,4911
14-11-2024,ક્લંજી,1001,3671,3791
14-11-2024,ધાણા,851,1411,1651
14-11-2024,લસણ સુકું,3061,4491,5881
14-11-2024,ડુંગળી લાલ,101,611,881
14-11-2024,અડદ,1101,1571,1631
14-11-2024,તુવેર,1211,2051,2171
14-11-2024,મેથી,601,741,1141
14-11-2024,મગફળી જાડી,651,1111,1211
14-11-2024,સફેદ ચણા,1301,1976,2881
14-11-2024,મગફળી 66,900,1251,1401
14-11-2024,તલ - તલી,2100,2411,2621
14-11-2024,ધાણી,951,1421,1751
14-11-2024,બાજરો,411,501,531
14-11-2024,જુવાર,471,721,881
14-11-2024,મગ,1141,1511,1701
14-11-2024,ચણા,1201,1326,1341
14-11-2024,વાલ,701,1400,1551
14-11-2024,ચોળા / ચોળી,801,2500,2500
14-11-2024,સોયાબીન,651,821,881
14-11-2024,ગોગળી,700,851,961
15-11-2024,કપાસ બી. ટી.,1251,1541,1591
15-11-2024,ઘઉં લોકવન,501,610,638
15-11-2024,ઘઉં ટુકડા,500,652,721
15-11-2024,મગફળી જીણી,760,1086,1216
15-11-2024,સિંગ ફાડીયા,871,1181,1361
15-11-2024,એરંડા / એરંડી,1141,1256,1261
15-11-2024,જીરૂ,3501,4701,4911
15-11-2024,ધાણા,951,1431,1681
15-11-2024,લસણ સુકું,2991,4491,5991
15-11-2024,ડુંગળી લાલ,111,601,891
15-11-2024,અડદ,1121,1561,1641
15-11-2024,તુવેર,600,2091,2131
15-11-2024,મેથી,1000,1081,1141
15-11-2024,ગુવાર બી,526,826,826
15-11-2024,મગફળી જાડી,641,1116,1241
