Date,Item Name,Low Price,Average Price,High Price
04-09-2024,કપાસ બી. ટી.,1051,1621,1661
04-09-2024,ઘઉં લોકવન,540,580,598
04-09-2024,ઘઉં ટુકડા,540,560,662
04-09-2024,મગફળી જીણી,871,1141,1256
04-09-2024,સિંગદાણા જાડા,1101,1511,1621
04-09-2024,સિંગ ફાડીયા,1001,1100,1231
04-09-2024,એરંડા / એરંડી,926,1146,1186
04-09-2024,જીરૂ,3851,4581,4881
04-09-2024,ક્લંજી,1301,2801,3000
04-09-2024,વરીયાળી,651,1076,1276
04-09-2024,ધાણા,800,1321,1611
04-09-2024,લસણ સુકું,2591,4551,5871
04-09-2024,ડુંગળી લાલ,301,651,871
04-09-2024,અડદ,1151,1391,1791
04-09-2024,તુવેર,1001,1961,2161
04-09-2024,રાયડો,801,801,801
04-09-2024,રાય,1231,1231,1241
04-09-2024,મેથી,951,1111,1226
04-09-2024,કાંગ,1051,1051,1181
04-09-2024,કારીજીરી,2351,2351,2351
04-09-2024,સુરજમુખી,1001,1001,1001
04-09-2024,ગુવાર બી,826,826,826
04-09-2024,મગફળી જાડી,850,1161,1296
04-09-2024,સફેદ ચણા,1476,2061,2891
04-09-2024,મગફળી નવી,700,971,1175
04-09-2024,તલ - તલી,1700,2351,2541
04-09-2024,ધાણી,1000,1351,1561
04-09-2024,બાજરો,371,431,471
04-09-2024,જુવાર,400,701,851
04-09-2024,મકાઇ,400,471,531
04-09-2024,મગ,1121,1551,1661
04-09-2024,ચણા,1301,1451,1481
04-09-2024,વાલ,531,1826,1951
04-09-2024,વાલ પાપડી,1001,1726,1951
04-09-2024,ચોળા / ચોળી,2101,2101,2101
04-09-2024,સોયાબીન,700,851,866
04-09-2024,અજમાં,1301,1301,1301
04-09-2024,ગોગળી,576,851,941
04-09-2024,વટાણા,701,1351,1351
05-09-2024,કપાસ બી. ટી.,1001,1656,1666
05-09-2024,ઘઉં લોકવન,546,570,600
05-09-2024,ઘઉં ટુકડા,540,560,640
05-09-2024,મગફળી જીણી,821,1121,1261
05-09-2024,સિંગદાણા જાડા,1100,1400,1591
05-09-2024,સિંગ ફાડીયા,1031,1241,1351
05-09-2024,એરંડા / એરંડી,1001,1161,1196
05-09-2024,જીરૂ,3551,4591,4991
05-09-2024,વરીયાળી,601,1176,1351
05-09-2024,ધાણા,800,1331,1531
05-09-2024,લસણ સુકું,2601,4501,5821
05-09-2024,ડુંગળી લાલ,201,621,771
05-09-2024,અડદ,1121,1751,1961
05-09-2024,તુવેર,1201,2001,2191
05-09-2024,રાયડો,801,951,951
05-09-2024,મેથી,851,1101,1351
05-09-2024,સુરજમુખી,301,501,1026
05-09-2024,ગુવાર બી,851,901,901
05-09-2024,મગફળી જાડી,800,1141,1251
05-09-2024,સફેદ ચણા,1441,2061,2881
05-09-2024,મગફળી નવી,801,931,950
05-09-2024,તલ - તલી,1701,2351,2551
05-09-2024,ધાણી,1000,1341,1626
05-09-2024,બાજરો,331,441,501
05-09-2024,જુવાર,751,801,841
05-09-2024,મકાઇ,351,500,500
05-09-2024,મગ,901,1531,1691
05-09-2024,ચણા,1301,1350,1466
05-09-2024,વાલ,576,1876,2151
05-09-2024,ચોળા / ચોળી,551,1901,1901
05-09-2024,સોયાબીન,751,866,881
05-09-2024,ગોગળી,525,951,1031
05-09-2024,વટાણા,2601,2601,2601
06-09-2024,કપાસ બી. ટી.,1051,1631,1666
06-09-2024,ઘઉં લોકવન,544,574,600
06-09-2024,ઘઉં ટુકડા,540,566,670
06-09-2024,મગફળી જીણી,850,1100,1156
06-09-2024,સિંગદાણા જાડા,1100,1411,1551
06-09-2024,સિંગ ફાડીયા,1000,1241,1331
06-09-2024,એરંડા / એરંડી,1021,1146,1171
06-09-2024,જીરૂ,3501,4571,4881
06-09-2024,ક્લંજી,300,2500,3021
06-09-2024,વરીયાળી,1101,1101,1101
06-09-2024,ધાણા,800,1331,1571
06-09-2024,લસણ સુકું,2411,4451,5771
06-09-2024,ડુંગળી લાલ,251,571,781
06-09-2024,અડદ,1531,1851,1921
06-09-2024,તુવેર,1951,2051,2091
06-09-2024,રાયડો,1011,1011,1011
06-09-2024,મેથી,925,1076,1126
06-09-2024,કાંગ,1201,1201,1201
06-09-2024,મગફળી જાડી,750,1121,1226
06-09-2024,સફેદ ચણા,1451,2041,2871
06-09-2024,મગફળી નવી,650,900,1166
06-09-2024,તલ - તલી,1800,2361,2661
06-09-2024,ધાણી,1000,1321,1421
06-09-2024,બાજરો,421,451,471
06-09-2024,જુવાર,651,731,801
06-09-2024,મકાઇ,411,411,411
06-09-2024,મગ,1261,1521,1641
06-09-2024,ચણા,1351,1421,1471
06-09-2024,વાલ,531,1901,2161
06-09-2024,ચોળા / ચોળી,1551,1851,1851
06-09-2024,સોયાબીન,750,856,881
06-09-2024,ગોગળી,550,961,1041
06-09-2024,વટાણા,1151,1301,2501
07-09-2024,કપાસ બી. ટી.,1201,1656,1671
07-09-2024,ઘઉં લોકવન,548,570,612
07-09-2024,ઘઉં ટુકડા,540,560,671
07-09-2024,મગફળી જીણી,801,1076,1191
07-09-2024,સિંગદાણા જાડા,1101,1251,1551
07-09-2024,સિંગ ફાડીયા,900,1121,1331
07-09-2024,એરંડા / એરંડી,1031,1161,1181
07-09-2024,તલ કાળા,2400,3276,3481
07-09-2024,જીરૂ,3481,4571,4881
07-09-2024,ધાણા,800,1311,1501
07-09-2024,લસણ સુકું,2491,4451,5701
07-09-2024,ડુંગળી લાલ,231,591,781
07-09-2024,અડદ,1021,1231,1871
07-09-2024,તુવેર,1951,2001,2181
07-09-2024,મેથી,1026,1071,1141
07-09-2024,કાંગ,1161,1161,1161
07-09-2024,મગફળી જાડી,751,1111,1191
07-09-2024,સફેદ ચણા,1451,2111,2931
07-09-2024,મગફળી નવી,600,700,800
07-09-2024,તલ - તલી,1800,2421,2661
07-09-2024,ધાણી,1000,1351,1631
07-09-2024,બાજરો,411,451,451
07-09-2024,જુવાર,761,761,761
07-09-2024,મકાઇ,471,471,471
07-09-2024,મગ,1351,1581,1671
07-09-2024,ચણા,1326,1461,1501
07-09-2024,વાલ,521,1976,2181
07-09-2024,ચોળા / ચોળી,1401,2351,3201
07-09-2024,સોયાબીન,751,856,876
07-09-2024,ગોગળી,676,781,821
09-09-2024,કપાસ બી. ટી.,1201,1591,1651
09-09-2024,ઘઉં લોકવન,502,568,610
09-09-2024,ઘઉં ટુકડા,481,554,636
09-09-2024,મગફળી જીણી,801,1071,1146
09-09-2024,સિંગદાણા જાડા,1141,1411,1541
09-09-2024,સિંગ ફાડીયા,931,1091,1241
09-09-2024,એરંડા / એરંડી,931,1131,1181
09-09-2024,જીરૂ,3000,4521,4851
09-09-2024,વરીયાળી,901,951,1176
09-09-2024,ધાણા,800,1331,1521
