Date,Item Name,Low Price,Average Price,High Price
10-12-2024,જામફળ,400,750,1100
10-12-2024,દાડમ,500,950,1400
10-12-2024,સફરજન,1200,1600,2000
10-12-2024,ચીકુ,600,800,1000
10-12-2024,પોપૈયા,500,550,600
10-12-2024,સીતાફળ,500,800,1100
10-12-2024,કેળા,400,450,500
10-12-2024,સંતરા,500,600,700
10-12-2024,તરબૂચ,100,150,200
10-12-2024,સ્ટ્રોબેરી,3000,3250,3500
10-12-2024,માલટા,400,600,800
10-12-2024,ક્મલમ,1400,1700,2000
10-12-2024,મોસંબી,800,950,1100
10-12-2024,ટેટી,600,650,700
10-12-2024,બોર,400,500,600
10-12-2024,કીવી,5000,5500,6000
11-12-2024,જામફળ,500,750,1000
11-12-2024,દાડમ,400,700,1000
11-12-2024,ચીકુ,600,900,1200
11-12-2024,પોપૈયા,400,500,600
11-12-2024,સીતાફળ,400,750,1100
11-12-2024,કેળા,450,525,600
11-12-2024,સંતરા,1000,2300,3600
11-12-2024,તરબૂચ,100,140,180
11-12-2024,સ્ટ્રોબેરી,3000,3500,4000
11-12-2024,માલટા,400,650,900
11-12-2024,ક્મલમ,1400,2200,3000
11-12-2024,મોસંબી,500,750,1000
11-12-2024,બોર,500,550,600
12-12-2024,જામફળ,400,600,800
12-12-2024,દાડમ,600,1100,1600
12-12-2024,સફરજન,1600,1800,2000
12-12-2024,ચીકુ,700,850,1000
12-12-2024,સીતાફળ,500,900,1300
12-12-2024,કેળા,400,450,500
12-12-2024,સંતરા,400,500,600
12-12-2024,તરબૂચ,100,150,200
12-12-2024,માલટા,300,550,800
12-12-2024,ક્મલમ,1400,1900,2400
12-12-2024,મોસંબી,400,700,1000
12-12-2024,ટેટી,400,530,660
12-12-2024,બોર,300,500,700
12-12-2024,કીવી,6200,6700,7200
13-12-2024,જામફળ,400,700,1000
13-12-2024,દાડમ,500,1050,1600
13-12-2024,સફરજન,1000,2300,3600
13-12-2024,ચીકુ,600,800,1000
13-12-2024,પોપૈયા,500,550,600
13-12-2024,સીતાફળ,500,850,1200
13-12-2024,કેળા,440,500,560
13-12-2024,સંતરા,400,550,700
13-12-2024,તરબૂચ,80,140,200
13-12-2024,સ્ટ્રોબેરી,4000,4250,4500
13-12-2024,માલટા,400,700,1000
13-12-2024,ક્મલમ,2000,2400,2800
13-12-2024,ગુલાબ,4600,5000,5400
13-12-2024,આબલી,14200,14600,15000
13-12-2024,મોસંબી,500,750,1000
13-12-2024,ટેટી,600,650,700
13-12-2024,બોર,300,550,800
13-12-2024,દ્રાક્ષ,4800,5200,5600
13-12-2024,આલુચા,1200,1400,1600
14-12-2024,જામફળ,200,600,1000
14-12-2024,દાડમ,700,1000,1300
14-12-2024,સફરજન,1400,1700,2000
14-12-2024,ચીકુ,400,700,1000
14-12-2024,પોપૈયા,420,460,500
14-12-2024,કેળા,450,500,550
14-12-2024,સંતરા,300,450,600
14-12-2024,તરબૂચ,60,130,200
14-12-2024,માલટા,500,650,800
14-12-2024,ક્મલમ,1400,1900,2400
14-12-2024,મોસંબી,600,800,1000
14-12-2024,બોર,200,600,1000
14-12-2024,દ્રાક્ષ,5000,5300,5600
14-12-2024,કીવી,5000,5500,6000
15-12-2024,જામફળ,400,700,1000
15-12-2024,દાડમ,400,800,1200
15-12-2024,સફરજન,1000,2400,3800
15-12-2024,પોપૈયા,450,500,550
15-12-2024,કેળા,440,500,560
15-12-2024,સંતરા,800,1250,1700
15-12-2024,તરબૂચ,100,150,200
15-12-2024,સ્ટ્રોબેરી,2500,3500,4500
15-12-2024,માલટા,800,850,900
15-12-2024,ગુલાબ,4500,4750,5000
15-12-2024,અનાનસ,600,700,800
