Date,Item Name,p,d,q
25/03/2025,કપાસ બી. ટી.,5,1,5
25/03/2025,મગફળી જીણી,3,1,3
25/03/2025,સિંગ ફાડીયા,1,0,0
25/03/2025,ડુંગળી લાલ,4,1,2
25/03/2025,મગફળી જાડી,0,1,0
20/03/2025,મગફળી 66,1,1,1
25/03/2025,ગોગળી,2,0,1
25/03/2025,ઘઉં લોકવન,2,1,1
25/03/2025,ઘઉં ટુકડા,4,1,4
25/03/2025,સિંગદાણા જાડા,4,2,2
25/03/2025,એરંડા / એરંડી,2,1,2
25/03/2025,તલ કાળા,2,0,1
25/03/2025,જીરૂ,0,0,0
25/03/2025,ધાણા,3,3,2
25/03/2025,લસણ સુકું,5,1,2
25/03/2025,અડદ,0,0,0
25/03/2025,તુવેર,4,1,4
25/03/2025,મેથી,0,0,0
25/03/2025,ગુવાર બી,2,2,1
25/03/2025,સફેદ ચણા,4,1,4
25/03/2025,તલ - તલી,2,1,2
25/03/2025,ધાણી,4,0,2
25/03/2025,બાજરો,1,0,0
25/03/2025,જુવાર,5,0,4
25/03/2025,મકાઇ,5,1,5
25/03/2025,મગ,5,1,5
25/03/2025,ચણા,0,0,0
25/03/2025,વાલ,5,1,5
25/03/2025,ચોળા / ચોળી,5,1,5
25/03/2025,સોયાબીન,1,1,1
25/03/2025,વટાણા,5,0,3
25/03/2025,રાય,4,0,2
25/03/2025,સુરજમુખી,3,0,1
25/03/2025,ક્લંજી,3,1,2
25/03/2025,વરીયાળી,1,1,1
25/03/2025,રાયડો,4,0,2
25/03/2025,સુવાદાણા,0,2,0
25/03/2025,કાંગ,4,1,4
25/03/2025,અજમાં,1,0,1
25/03/2025,ઇસબગુલ,1,2,1
25/03/2025,કળથી,5,1,2
25/03/2025,મરચા સૂકા પટ્ટો,2,1,0
25/03/2025,મઠ,1,0,1
25/03/2025,મરચા,5,1,5
25/03/2025,ડુંગળી સફેદ,2,1,2
25/03/2025,રાજગરો,2,0,1
25/03/2025,તલ લાલ,1,1,1
25/03/2025,નવા ધાણા,3,3,2
25/03/2025,રજકાનું બી,0,3,0
25/03/2025,નવી ધાણી,4,0,2
25/03/2025,નવું લસણ,3,1,1
25/03/2025,નવું જીરૂ,0,0,0
24/03/2025,કારીજીરી,0,0,0
20/03/2025,મગફળી જાડી જુની,0,1,0
20/03/2025,મરચા સૂકા ઘોલર,5,1,5
20/03/2025,વાલ પાપડી,5,1,5
20/03/2025,નવુ જીરુ,4,1,1
20/03/2025,નવુ લસણ,5,2,1
20/03/2025,અરીઠા,2,0,0
20/03/2025,કપાસ નવો,5,3,1
20/03/2025,નવા ચણા,0,0,0
20/03/2025,મગફળી નવી,5,1,5
