Date,Item Name,p,d,q
10/03/2025,જામફળ,2,0,0
10/03/2025,દાડમ,3,0,1
10/03/2025,સફરજન,2,0,0
10/03/2025,ચીકુ,0,0,0
10/03/2025,પોપૈયા,4,1,2
10/03/2025,સીતાફળ,4,0,3
10/03/2025,કેળા,4,0,0
10/03/2025,સંતરા,3,0,1
10/03/2025,તરબૂચ,5,1,4
10/03/2025,સ્ટ્રોબેરી,3,1,3
10/03/2025,ક્મલમ,2,0,2
10/03/2025,ગુલાબ,4,0,3
10/03/2025,મોસંબી,5,1,5
10/03/2025,ટેટી,3,1,3
10/03/2025,કીવી,3,0,0
10/03/2025,દ્રાક્ષ,5,1,5
10/03/2025,આલુચા,2,1,1
10/03/2025,અનાનસ,3,3,1
10/03/2025,માલટા,4,1,4
10/03/2025,બોર,3,1,3
10/03/2025,આબલી,0,2,0
10/03/2025,હાફુસ કેરી,0,2,0
10/03/2025,લાલબાગ કેરી,1,2,1
